1001      20260501CR OPENING BALANCE    500000
1001      20260505CR CASH DEPOSIT       070500
1001      20260508DR ATM WITHDRAW       002000
1001      20260508CR ACH CREDIT         042069
1001      20260510CR MOBILE DEPOSIT     099999
1001      20260511DR POS PURCHASE       006875
1001      20260512CR ACH CREDIT         058636
1001      20260512DR POS PURCHASE       002124
1001      20260514DR WIRE TRANSFER      025000
1001      20260515CR PAYROLL DEPOSIT    240000
1002      20260501CR OPENING BALANCE    750000
1002      20260503DR POS PURCHASE       001599
1002      20260507CR ACH CREDIT         198450
1002      20260509DR BILL PAYMENT       015000
1002      20260513CR MOBILE DEPOSIT     050000
1002      20260515DR POS PURCHASE       003275
